id	Accession	Gene.name	Protein.description	Protein.IDs	Majority.protein.IDs	Fasta.headers	Number.of.proteins	Peptides	Razor.and.unique.peptides	Unique.peptides	Sequence.coverage.percent	Mol.weight.kDa	Sequence.length	Q.value	Score	Intensity	MS.MS.count	Mock_01	Mock_02	Mock_03	BTX_01	BTX_02	BTX_03	Mock_01.norm	Mock_02.norm	Mock_03.norm	BTX_01.norm	BTX_02.norm	BTX_03.norm	log2FC	p.mod	p.adj.BH	Candidate
2346	A0A0G2JV31	Xpnpep1	X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_a	tr|A0A0G2JV31|A0A0G2JV31_RAT;sp|O54975|XPP1_RAT	tr|A0A0G2JV31|A0A0G2JV31_RAT;sp|O54975|XPP1_RAT	tr|A0A0G2JV31|A0A0G2JV31_RAT X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Xpnpep1 PE=1 SV=1;sp|O54975|XPP1_RAT Xaa-Pro aminopeptidase 1 OS=Rattus norvegicus OX=10116 GN=Xpnpep1 PE=1 SV=1	2	10	10	10	16.7	74.667	666	0	87.261	168000000	13	15.833087738422	15.6361714416359	15.6327964494863	15.7296738453084	15.4873376152072	15.868267936385	-0.00677139333377319	-0.0145223472729794	0.00596816646525916	0.0693251004457828	0.0179673423533029	-0.0296468830503304	-0.0243237112967495	0.543617719586706	0.750256034049489	FALSE
2348	A0A0G2JV49	Ppp6r2	Protein phosphatase 6, regulatory subunit 2	tr|A0A0G2JV49|A0A0G2JV49_RAT;tr|F1M6T6|F1M6T6_RAT	tr|A0A0G2JV49|A0A0G2JV49_RAT;tr|F1M6T6|F1M6T6_RAT	tr|A0A0G2JV49|A0A0G2JV49_RAT Protein phosphatase 6, regulatory subunit 2 OS=Rattus norvegicus OX=10116 GN=Ppp6r2 PE=1 SV=1;tr|F1M6T6|F1M6T6_RAT Protein phosphatase 6, regulatory subunit 2 OS=Rattus norvegicus OX=10116 GN=Ppp6r2 PE=1 SV=3	2	6	6	6	9	96.963	896	0	42.485	35646000	6	13.4231159101471	13.3655022681931	13.1283488271369	13.0408547686714	12.9165886042159	13.3679607096416	0.0971743213718893	0.228726022264787	0.015438087096431	-0.105576433210672	-0.0388641256574148	-0.0160365668131382	0.167271852138111	0.0335420637186664	0.217882865177412	FALSE
2349	A0A0G2JV84	Gpt2	Glutamic--pyruvic transaminase 2	tr|A0A0G2JV84|A0A0G2JV84_RAT;tr|Q7TP13|Q7TP13_RAT	tr|A0A0G2JV84|A0A0G2JV84_RAT;tr|Q7TP13|Q7TP13_RAT	tr|A0A0G2JV84|A0A0G2JV84_RAT Glutamic--pyruvic transaminase 2 OS=Rattus norvegicus OX=10116 GN=Gpt2 PE=1 SV=1;tr|Q7TP13|Q7TP13_RAT Cc2-5 OS=Rattus norvegicus OX=10116 GN=Gpt2 PE=1 SV=1	2	5	5	5	14	60.288	544	0	70.245	46004000	6	14.7392004622413	14.5570448092836	14.656257254211	14.6549156802067	14.4560976849642	14.8655399707857	-0.0781946334347774	-0.0711849435455611	0.0518930072696296	0.0170309714237907	0.00919144819005191	-0.00991081256985477	-0.0379327255848989	0.434972308757643	0.675034527071514	FALSE
2350	A0A0G2JV86	Myb	MYB proto-oncogene, transcription factor	tr|A0A0G2JV86|A0A0G2JV86_RAT;tr|A0A0G2K2A4|A0A0G2K2A4_RAT	tr|A0A0G2JV86|A0A0G2JV86_RAT;tr|A0A0G2K2A4|A0A0G2K2A4_RAT	tr|A0A0G2JV86|A0A0G2JV86_RAT MYB proto-oncogene, transcription factor OS=Rattus norvegicus OX=10116 GN=Myb PE=1 SV=1;tr|A0A0G2K2A4|A0A0G2K2A4_RAT MYB proto-oncogene, transcription factor OS=Rattus norvegicus OX=10116 GN=Myb PE=1 SV=1	2	1	1	1	1.4	70.62	626	0.0097461	6.1332	15068000	1	12.6620674983043	12.4678347736686	12.3392097762432	12.295797627354	12.9895009416908	12.6904563821761	0.0171477416092731	0.0120803598205106	-0.0926791317170727	-0.169611742447866	0.715070043897741	-0.0125190621983659	-0.198796756512932	0.402202490896788	0.650453759139984	FALSE
2352	A0A0G2JVG3	Pkm	Pyruvate kinase	tr|A0A0G2JVG3|A0A0G2JVG3_RAT;tr|M0RD14|M0RD14_RAT	tr|A0A0G2JVG3|A0A0G2JVG3_RAT;tr|M0RD14|M0RD14_RAT	tr|A0A0G2JVG3|A0A0G2JVG3_RAT Pyruvate kinase OS=Rattus norvegicus OX=10116 GN=Pkm PE=1 SV=1;tr|M0RD14|M0RD14_RAT Pyruvate kinase OS=Rattus norvegicus OX=10116 PE=3 SV=2	2	36	3	3	70.6	53.193	489	0	123.93	98007000	4	14.7315311764619	14.5192062302598	14.408263390132	14.4071349621973	14.4514687129474	14.7846348455575	0.0138364597806806	-0.009323143574617	-0.0964004778145777	-0.131049367590781	0.104262855168	0.00888444119676174	-0.0246616967941648	0.727589092776905	0.866602149435794	FALSE
2353	A0A0G2JVH4	Immt	MICOS complex subunit MIC60	tr|A0A0G2JVH4|A0A0G2JVH4_RAT;tr|A0A140TAG5|A0A140TAG5_RAT;sp|Q3KR86|MIC60_RAT	tr|A0A0G2JVH4|A0A0G2JVH4_RAT;tr|A0A140TAG5|A0A140TAG5_RAT;sp|Q3KR86|MIC60_RAT	tr|A0A0G2JVH4|A0A0G2JVH4_RAT MICOS complex subunit MIC60 OS=Rattus norvegicus OX=10116 GN=Immt PE=1 SV=1;tr|A0A140TAG5|A0A140TAG5_RAT MICOS complex subunit MIC60 OS=Rattus norvegicus OX=10116 GN=Immt PE=1 SV=1;sp|Q3KR86|MIC60_RAT MICOS complex subunit Mic6	3	53	53	53	57.7	86.229	776	0	323.31	8677900000	137	20.0336219520534	19.8109449871918	19.7890082035127	19.8520600597315	19.644982855229	20.1078913419646	0.0106714575632665	-0.022840164451412	-0.0209114422426945	0.00861995213452815	-0.00747878035918248	0.0268851597950444	-0.02036882690041	0.548230227973093	0.753474489693469	FALSE
2354	D3ZL30	Mast3	Microtubule-associated serine/threonine kinase 3	tr|D3ZL30|D3ZL30_RAT;tr|A0A0G2JVL3|A0A0G2JVL3_RAT	tr|D3ZL30|D3ZL30_RAT;tr|A0A0G2JVL3|A0A0G2JVL3_RAT	tr|D3ZL30|D3ZL30_RAT Microtubule-associated serine/threonine kinase 3 OS=Rattus norvegicus OX=10116 GN=Mast3 PE=1 SV=1;tr|A0A0G2JVL3|A0A0G2JVL3_RAT Microtubule-associated serine/threonine kinase 3 OS=Rattus norvegicus OX=10116 GN=Mast3 PE=1 SV=1	2	5	4	4	4.2	142.38	1305	0	27.433	26210000	5	14.1316962235978	13.9669559984385	13.8827385636153	13.8556471660273	13.7457793503947	14.1492707991215	0.0259952436421116	0.0504203613297377	-0.00993156760565367	-0.0705434270352531	0.0105672293409427	-0.014485868513685	0.0469820345247303	0.262129743049345	0.531526219110226	FALSE
2355	A0A0G2JVL6	Ndufa8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	tr|A0A0G2JVL6|A0A0G2JVL6_RAT;tr|F7EXQ7|F7EXQ7_RAT	tr|A0A0G2JVL6|A0A0G2JVL6_RAT;tr|F7EXQ7|F7EXQ7_RAT	tr|A0A0G2JVL6|A0A0G2JVL6_RAT NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Rattus norvegicus OX=10116 GN=Ndufa8 PE=1 SV=1;tr|F7EXQ7|F7EXQ7_RAT NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Rattus norvegicus OX=10116 GN=N	2	7	7	7	43.6	19.965	172	0	76.313	2082600000	19	17.0335950684517	16.8230188651619	16.7174622303497	16.8245113084407	16.6735575281291	17.1924854692138	0.0103837054566466	-0.0110271549863086	-0.0927182839106918	-0.0191896676612018	0.0208350240359633	0.111218418539217	-0.0687418361181108	0.213640460166892	0.481693127350994	FALSE
2356	A0A0G2JVL8	Iars	Isoleucyl-tRNA synthetase	tr|A0A0G2JVL8|A0A0G2JVL8_RAT;tr|F1LS86|F1LS86_RAT;tr|A0A0G2JZH2|A0A0G2JZH2_RAT	tr|A0A0G2JVL8|A0A0G2JVL8_RAT;tr|F1LS86|F1LS86_RAT;tr|A0A0G2JZH2|A0A0G2JZH2_RAT	tr|A0A0G2JVL8|A0A0G2JVL8_RAT Isoleucyl-tRNA synthetase OS=Rattus norvegicus OX=10116 GN=Iars PE=1 SV=1;tr|F1LS86|F1LS86_RAT Isoleucine-tRNA synthetase (Predicted) OS=Rattus norvegicus OX=10116 GN=Iars PE=1 SV=2;tr|A0A0G2JZH2|A0A0G2JZH2_RAT Isoleucine--tRNA	3	3	3	3	2.3	143.58	1254	0	18.055	19965000	3	12.805683422769	12.5924103171126	12.6183166697463	12.6355820961588	12.6208612880446	12.9515032885665	-0.0169055497782756	-0.0410133125877646	0.00875854593378261	-0.00749648949534132	0.168761174399225	0.0708586283397467	-0.0937612098919627	0.117842108479516	0.368354140412793	FALSE
2357	A0A0G2JVM0	Aldh4a1	Taste receptor type 1 member 2	tr|A0A0G2JVM0|A0A0G2JVM0_RAT;tr|A0A0G2K9I7|A0A0G2K9I7_RAT;tr|A0A0G2JUB9|A0A0G2JUB9_RAT;sp|P0C2X9|AL4A1_RAT;tr|A0A0G2JUT5|A0A0G2JUT5_RAT	tr|A0A0G2JVM0|A0A0G2JVM0_RAT;tr|A0A0G2K9I7|A0A0G2K9I7_RAT;tr|A0A0G2JUB9|A0A0G2JUB9_RAT;sp|P0C2X9|AL4A1_RAT;tr|A0A0G2JUT5|A0A0G2JUT5_RAT	tr|A0A0G2JVM0|A0A0G2JVM0_RAT Taste receptor type 1 member 2 OS=Rattus norvegicus OX=10116 GN=Aldh4a1 PE=1 SV=1;tr|A0A0G2K9I7|A0A0G2K9I7_RAT Taste receptor type 1 member 2 OS=Rattus norvegicus OX=10116 GN=Aldh4a1 PE=1 SV=1;tr|A0A0G2JUB9|A0A0G2JUB9_RAT Taste	5	17	17	17	32.6	61.844	562	0	204.65	1392700000	32	17.8971718709688	17.714983314723	17.6152560418437	17.7710767402628	17.5575684056749	18.0276144743163	-0.0185333705674525	-0.0115565839663765	-0.0874183509578633	0.0348818856196524	0.0123520230405175	0.0538535451005393	-0.0728652530841338	0.0932093601260718	0.329372968830525	FALSE
2359	A0A0G2JVM6	Dtnb	Dystrobrevin	tr|A0A0G2JVM6|A0A0G2JVM6_RAT;sp|P84060|DTNB_RAT	tr|A0A0G2JVM6|A0A0G2JVM6_RAT;sp|P84060|DTNB_RAT	tr|A0A0G2JVM6|A0A0G2JVM6_RAT Dystrobrevin OS=Rattus norvegicus OX=10116 GN=Dtnb PE=1 SV=1;sp|P84060|DTNB_RAT Dystrobrevin beta OS=Rattus norvegicus OX=10116 GN=Dtnb PE=1 SV=2	2	4	2	2	9.6	69.649	615	0	36.792	3543400	3	12.03128766508	11.771283119641	11.8382190805023	11.8566978563539	11.4771005065808	12.1009907840928	-0.00260914749774788	-0.0734483500899016	0.0173531166592294	0.00231143066929052	-0.186307447095094	0.00903828383547617	0.0387511172206358	0.560912766897211	0.761090670155394	FALSE
2361	D3ZP06	Itgb8	Integrin beta	tr|D3ZP06|D3ZP06_RAT;tr|A0A0G2JVU1|A0A0G2JVU1_RAT	tr|D3ZP06|D3ZP06_RAT;tr|A0A0G2JVU1|A0A0G2JVU1_RAT	tr|D3ZP06|D3ZP06_RAT Integrin beta OS=Rattus norvegicus OX=10116 GN=Itgb8 PE=1 SV=1;tr|A0A0G2JVU1|A0A0G2JVU1_RAT Integrin beta OS=Rattus norvegicus OX=10116 GN=Itgb8 PE=1 SV=1	2	4	4	4	10	62.41	560	0	31.398	19426000	5	13.9284258443891	13.8233672400462	13.8336807486547	13.8409745698219	13.7574941863563	14.1563201342173	-0.104541404443959	-0.0204346659399027	0.0137443485564305	-0.0124822921179892	0.0950157964251982	0.0652971977048189	-0.0863541412798197	0.121833044460063	0.375335520427905	FALSE
2362	A0A0G2JVV5	Usp14	Ubiquitin-specific peptidase 14	tr|A0A0G2JVV5|A0A0G2JVV5_RAT;tr|Q5U2N2|Q5U2N2_RAT	tr|A0A0G2JVV5|A0A0G2JVV5_RAT;tr|Q5U2N2|Q5U2N2_RAT	tr|A0A0G2JVV5|A0A0G2JVV5_RAT Ubiquitin-specific peptidase 14 OS=Rattus norvegicus OX=10116 GN=Usp14 PE=1 SV=1;tr|Q5U2N2|Q5U2N2_RAT Ubiquitin specific protease 14 OS=Rattus norvegicus OX=10116 GN=Usp14 PE=1 SV=1	2	8	8	8	21.2	52.293	458	0	71.125	118270000	10	14.6877037302136	14.5368542828298	14.333225246633	14.5186531556734	14.6050164479114	14.8971836909609	-0.023676937019329	0.0146389584437179	-0.165124571865299	-0.0132171246664247	0.264124639580308	0.127747336048441	-0.184272467134412	0.0660071816189477	0.293128666759413	FALSE
2363	A0A0G2JVW5	Huwe1	E3 ubiquitin-protein ligase HUWE1	tr|A0A0G2JVW5|A0A0G2JVW5_RAT;tr|E9PSZ5|E9PSZ5_RAT	tr|A0A0G2JVW5|A0A0G2JVW5_RAT	tr|A0A0G2JVW5|A0A0G2JVW5_RAT E3 ubiquitin-protein ligase HUWE1 OS=Rattus norvegicus OX=10116 GN=Huwe1 PE=1 SV=1	2	14	14	14	4.5	447.65	4062	0	133.57	74413000	15	15.1519282446538	15.0677284496431	15.0413169158294	14.9694314924319	14.7759702923574	15.1477614129109	0.00134432425014275	0.106309872086335	0.10376384416049	-0.00164204107860011	-0.00412476914431603	-0.0608781951722605	0.0926876819640484	0.0750708933869369	0.304710358415773	FALSE
2364	F1LZX9	Itgav	Integrin subunit alpha V	tr|F1LZX9|F1LZX9_RAT;tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT	tr|F1LZX9|F1LZX9_RAT;tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT	tr|F1LZX9|F1LZX9_RAT Integrin subunit alpha V OS=Rattus norvegicus OX=10116 GN=Itgav PE=1 SV=3;tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT Integrin subunit alpha V OS=Rattus norvegicus OX=10116 GN=Itgav PE=1 SV=1	2	5	5	5	4.8	115.58	1047	0	33.343	86538000	7	15.2418714586162	15.0765651074173	15.085555446615	15.0945313439078	14.8997817378379	15.3631423241414	-0.0297141192665509	-0.00585512761855606	0.0270007174669938	0.0024561529182866	-0.00131498114294093	0.0335010585791751	-0.014403586590878	0.684248727163812	0.840810362281971	FALSE
2365	A0A0G2JW01		Uncharacterized protein	tr|A0A0G2JW01|A0A0G2JW01_RAT;tr|E9PT39|E9PT39_RAT;tr|A0A0G2K5D0|A0A0G2K5D0_RAT;tr|A0A0G2JY49|A0A0G2JY49_RAT	tr|A0A0G2JW01|A0A0G2JW01_RAT;tr|E9PT39|E9PT39_RAT;tr|A0A0G2K5D0|A0A0G2K5D0_RAT	tr|A0A0G2JW01|A0A0G2JW01_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=1 SV=1;tr|E9PT39|E9PT39_RAT Uncharacterized protein (Fragment) OS=Rattus norvegicus OX=10116 PE=1 SV=3;tr|A0A0G2K5D0|A0A0G2K5D0_RAT Uncharacterized protein (Fragment) OS=	4	8	8	5	28.1	48.639	427	0	143.18	93169000	8	15.5946745036899	15.4870549278269	15.3574832770359	14.724087461794	14.7156939259944	15.0997587292703	0.266643879224101	0.34818964620793	0.242483501304816	-0.42443277577867	-0.241847839569527	-0.28632758287497	0.603308408320005	3.75343870094776e-05	0.00335171931565713	TRUE
2366	A0A0G2JW34	Cisd3	CDGSH iron sulfur domain 3	tr|A0A0G2JW34|A0A0G2JW34_RAT	tr|A0A0G2JW34|A0A0G2JW34_RAT	tr|A0A0G2JW34|A0A0G2JW34_RAT CDGSH iron sulfur domain 3 OS=Rattus norvegicus OX=10116 GN=Cisd3 PE=1 SV=1	1	2	2	2	18.1	14.379	127	0.0011866	11.344	18423000	2	12.4204076598241	11.9785674693604	12.0057298003429	12.0878937290008	12.0748439029389	12.2155329997457	0.17795630555751	-0.0747185420593062	-0.0236907051889539	0.0249527616273952	0.202881407574192	-0.0849740422004049	-0.0211043562306441	0.832464387537693	0.92242730915436	FALSE
2367	A0A0G2JW50	Pitpnm2	Phosphatidylinositol transfer protein, membrane-associated 2	tr|A0A0G2JW50|A0A0G2JW50_RAT;tr|F1LXD6|F1LXD6_RAT	tr|A0A0G2JW50|A0A0G2JW50_RAT;tr|F1LXD6|F1LXD6_RAT	tr|A0A0G2JW50|A0A0G2JW50_RAT Phosphatidylinositol transfer protein, membrane-associated 2 OS=Rattus norvegicus OX=10116 GN=Pitpnm2 PE=1 SV=1;tr|F1LXD6|F1LXD6_RAT Phosphatidylinositol transfer protein, membrane-associated 2 OS=Rattus norvegicus OX=10116 GN=	2	5	5	5	4.9	140.74	1269	0	33.671	51602000	6	14.8591950375111	14.666113021993	14.5982270091682	14.6421081176319	14.5949077230633	14.8789609340318	0.0208838807260614	0.0169672080548822	-0.0270532988820861	-0.0166926522600251	0.127085425180214	-0.0174059104327375	-0.0273963575295313	0.603579426551091	0.788231788665931	FALSE
2368	A0A0G2JW88	Map4	Microtubule-associated protein	tr|A0A0G2JW88|A0A0G2JW88_RAT;sp|Q5M7W5|MAP4_RAT	tr|A0A0G2JW88|A0A0G2JW88_RAT;sp|Q5M7W5|MAP4_RAT	tr|A0A0G2JW88|A0A0G2JW88_RAT Microtubule-associated protein OS=Rattus norvegicus OX=10116 GN=Map4 PE=1 SV=1;sp|Q5M7W5|MAP4_RAT Microtubule-associated protein 4 OS=Rattus norvegicus OX=10116 GN=Map4 PE=1 SV=1	2	33	33	32	18.9	233.39	2201	0	291.7	1207600000	47	18.6385985361077	18.4777740742886	18.4667854592247	17.8654433110395	17.5969613403661	18.0932112145284	0.29667356067328	0.325014441701036	0.337891332524954	-0.296971277501737	-0.374474776166446	-0.306769448585545	0.645931612384332	1.45193276557677e-06	0.000684365357606474	TRUE
2369	F7FKI5	Pdha1	Pyruvate dehydrogenase E1 component subunit alpha	tr|F7FKI5|F7FKI5_RAT;tr|A0A0G2JW90|A0A0G2JW90_RAT;sp|P26284|ODPA_RAT;tr|D4A5G8|D4A5G8_RAT;sp|Q06437|ODPAT_RAT	tr|F7FKI5|F7FKI5_RAT;tr|A0A0G2JW90|A0A0G2JW90_RAT;sp|P26284|ODPA_RAT;tr|D4A5G8|D4A5G8_RAT	tr|F7FKI5|F7FKI5_RAT Pyruvate dehydrogenase E1 component subunit alpha OS=Rattus norvegicus OX=10116 GN=Pdha1 PE=1 SV=2;tr|A0A0G2JW90|A0A0G2JW90_RAT Pyruvate dehydrogenase E1 component subunit alpha OS=Rattus norvegicus OX=10116 GN=Pdha1 PE=1 SV=1;sp|P2628	5	32	32	32	59.4	43.113	389	0	323.31	10818000000	101	19.9529061522899	19.7343160056356	19.6794972808894	19.7729781826623	19.625155884727	20.0580128690489	5.99329529942239e-05	-0.0293648708543645	-0.0603180897127395	-0.000357649781451586	0.0427985242920068	0.0471109620324926	-0.0597249547190525	0.137609481618335	0.395488919330069	FALSE
2370	A0A0G2JWA3	Xpo7	Exportin 7	tr|A0A0G2JWA3|A0A0G2JWA3_RAT;tr|F1LQM9|F1LQM9_RAT	tr|A0A0G2JWA3|A0A0G2JWA3_RAT;tr|F1LQM9|F1LQM9_RAT	tr|A0A0G2JWA3|A0A0G2JWA3_RAT Exportin 7 OS=Rattus norvegicus OX=10116 GN=Xpo7 PE=1 SV=1;tr|F1LQM9|F1LQM9_RAT Exportin 7 OS=Rattus norvegicus OX=10116 GN=Xpo7 PE=1 SV=2	2	6	6	6	5	123.78	1087	0	40.93	45193000	6	14.2577561308117	14.1376315982354	14.0824817278631	14.2044183082894	14.0907740546408	14.3835018042226	-0.0685847491899594	0.000456061080655268	-0.0308283034038434	0.0575878151809274	0.134922033541	-0.000894763458510528	-0.0968573589255214	0.078635184926697	0.308707306083636	FALSE
2371	B5DF63	Slmap	Sarcolemmal membrane-associated protein	tr|B5DF63|B5DF63_RAT;tr|D3ZKE6|D3ZKE6_RAT;tr|A0A0G2JWA5|A0A0G2JWA5_RAT;sp|P0C219|SLMAP_RAT	tr|B5DF63|B5DF63_RAT;tr|D3ZKE6|D3ZKE6_RAT;tr|A0A0G2JWA5|A0A0G2JWA5_RAT;sp|P0C219|SLMAP_RAT	tr|B5DF63|B5DF63_RAT Sarcolemmal membrane-associated protein OS=Rattus norvegicus OX=10116 GN=Slmap PE=1 SV=1;tr|D3ZKE6|D3ZKE6_RAT Sarcolemma associated protein (Predicted) OS=Rattus norvegicus OX=10116 GN=Slmap PE=1 SV=1;tr|A0A0G2JWA5|A0A0G2JWA5_RAT Sarco	4	4	4	4	5.7	86.02	749	0	26.191	35381000	5	13.8027182959832	13.5974706509741	13.6251380438321	12.8239841548471	12.7246843743708	13.1079689645299	0.362211401973429	0.346129099811216	0.397661998557096	-0.437012352269463	-0.345333660737075	-0.390593617159316	0.759647376835865	6.92769740734744e-07	0.000620880149044172	TRUE
2372	A0A0G2JWA8	Macf1	Microtubule-actin cross-linking factor 1	tr|A0A0G2JWA8|A0A0G2JWA8_RAT;sp|D3ZHV2|MACF1_RAT;tr|M9MMM9|M9MMM9_RAT;tr|A0A0G2JU82|A0A0G2JU82_RAT;tr|A0A0G2K9T4|A0A0G2K9T4_RAT	tr|A0A0G2JWA8|A0A0G2JWA8_RAT;sp|D3ZHV2|MACF1_RAT;tr|M9MMM9|M9MMM9_RAT;tr|A0A0G2JU82|A0A0G2JU82_RAT;tr|A0A0G2K9T4|A0A0G2K9T4_RAT	tr|A0A0G2JWA8|A0A0G2JWA8_RAT Microtubule-actin cross-linking factor 1 OS=Rattus norvegicus OX=10116 GN=Macf1 PE=1 SV=1;sp|D3ZHV2|MACF1_RAT Microtubule-actin cross-linking factor 1 OS=Rattus norvegicus OX=10116 GN=Macf1 PE=1 SV=1;tr|M9MMM9|M9MMM9_RAT Microt	5	72	72	71	11.1	830.73	7351	0	323.31	893960000	80	18.6426581428752	18.4430973310699	18.4292677878065	18.390160557476	18.2544196936998	18.6996808899096	0.00583564951479487	-0.00455981944357647	0.00547614318081308	-0.0671515489911857	-0.0119139407586912	0.00480270886972406	0.0270049180440614	0.464247215973956	0.698076303158213	FALSE
2373	Q9QX19	Cit	Citron rho-interacting serine/threonine kinase	tr|Q9QX19|Q9QX19_RAT;tr|E9PSL7|E9PSL7_RAT;tr|A0A0G2JWA9|A0A0G2JWA9_RAT	tr|Q9QX19|Q9QX19_RAT;tr|E9PSL7|E9PSL7_RAT;tr|A0A0G2JWA9|A0A0G2JWA9_RAT	tr|Q9QX19|Q9QX19_RAT Citron rho-interacting serine/threonine kinase OS=Rattus norvegicus OX=10116 GN=Cit PE=1 SV=1;tr|E9PSL7|E9PSL7_RAT Citron rho-interacting serine/threonine kinase OS=Rattus norvegicus OX=10116 GN=Cit PE=1 SV=1;tr|A0A0G2JWA9|A0A0G2JWA9_R	3	34	34	34	20.3	185.92	1618	0	233.2	405750000	40	17.4062382284851	17.270112787718	17.2323834501972	17.0079908447828	16.7376698631775	17.2560796600511	0.103028001564934	0.156067903644663	0.142204072011706	-0.115708995244264	-0.195051504840829	-0.10518625454854	0.272415577284979	0.000379676849345993	0.0142551398890814	FALSE
2374	Q5XI19	Fermt2	Fermitin family homolog 2 (Drosophila)	tr|Q5XI19|Q5XI19_RAT;tr|A0A0G2JWC7|A0A0G2JWC7_RAT	tr|Q5XI19|Q5XI19_RAT;tr|A0A0G2JWC7|A0A0G2JWC7_RAT	tr|Q5XI19|Q5XI19_RAT Fermitin family homolog 2 (Drosophila) OS=Rattus norvegicus OX=10116 GN=Fermt2 PE=1 SV=1;tr|A0A0G2JWC7|A0A0G2JWC7_RAT Fermitin family member 2 OS=Rattus norvegicus OX=10116 GN=Fermt2 PE=1 SV=1	2	4	4	4	6.8	77.875	680	0	37.294	86751000	5	14.1514130034969	13.9032228444336	13.8929222236306	14.0040448598374	13.6758467983636	14.1212906734555	0.0527005355426693	-0.00632428067380525	0.00724060441104185	0.0848427787763254	-0.0523768106887586	-0.0354774821783023	0.0188761244568805	0.705932696572413	0.852268750652956	FALSE
2375	A0A0G2JWF4	Aspscr1	ASPSCR1, UBX domain-containing tether for SLC2A4	tr|A0A0G2JWF4|A0A0G2JWF4_RAT;tr|F1LR71|F1LR71_RAT	tr|A0A0G2JWF4|A0A0G2JWF4_RAT;tr|F1LR71|F1LR71_RAT	tr|A0A0G2JWF4|A0A0G2JWF4_RAT ASPSCR1, UBX domain-containing tether for SLC2A4 OS=Rattus norvegicus OX=10116 GN=Aspscr1 PE=1 SV=1;tr|F1LR71|F1LR71_RAT ASPSCR1, UBX domain-containing tether for SLC2A4 OS=Rattus norvegicus OX=10116 GN=Aspscr1 PE=1 SV=2	2	6	6	6	15.6	48.177	441	0	44.633	54481000	6	15.7279736189374	15.5675699269963	15.5171157239534	15.5344244800813	15.2178441311273	15.6850224961255	0.00687051756725321	0.0356321684730372	0.00904347131792133	-0.00716823439571057	-0.132770111341004	-0.09413629292418	0.0952069320063689	0.0654504589090017	0.293128666759413	FALSE
2376	A0A0G2JWG7	Cyp46a1	Cytochrome P450, family 46, subfamily a, polypeptide 1	tr|A0A0G2JWG7|A0A0G2JWG7_RAT;tr|F7EN52|F7EN52_RAT	tr|A0A0G2JWG7|A0A0G2JWG7_RAT;tr|F7EN52|F7EN52_RAT	tr|A0A0G2JWG7|A0A0G2JWG7_RAT Cytochrome P450, family 46, subfamily a, polypeptide 1 OS=Rattus norvegicus OX=10116 GN=Cyp46a1 PE=3 SV=1;tr|F7EN52|F7EN52_RAT Cyp46a1 protein OS=Rattus norvegicus OX=10116 GN=Cyp46a1 PE=2 SV=2	2	6	6	6	18.9	45.776	403	0	52.013	62508000	7	13.3541116084608	13.4814210529319	13.0983117754604	13.0696175909656	13.4976023867835	13.5012151995334	-0.0456030781883212	0.270871709129601	-0.0883720624540817	-0.150586708790445	0.46837655903624	0.0434448252047153	-0.0747793689877707	0.682002397126312	0.838918808676595	FALSE
2377	B4F7C9	Stt3a	STT3A, catalytic subunit of the oligosaccharyltransferase complex	tr|B4F7C9|B4F7C9_RAT;tr|A0A0G2JWH5|A0A0G2JWH5_RAT	tr|B4F7C9|B4F7C9_RAT;tr|A0A0G2JWH5|A0A0G2JWH5_RAT	tr|B4F7C9|B4F7C9_RAT STT3A, catalytic subunit of the oligosaccharyltransferase complex OS=Rattus norvegicus OX=10116 GN=Stt3a PE=1 SV=1;tr|A0A0G2JWH5|A0A0G2JWH5_RAT STT3A, catalytic subunit of the oligosaccharyltransferase complex OS=Rattus norvegicus OX=1	2	2	2	2	2.4	80.597	705	0.00060405	11.755	19482000	2	13.6593269974141	13.403810931786	13.4939805040704	13.5950243186136	13.3108967487977	13.5680748695232	-0.0114913609085606	-0.0778420836897552	0.0361929944824741	0.103716347184117	0.010567249376951	-0.160799176478936	-0.00220829006599136	0.976978877556498	0.988796851799805	FALSE
2378	A0A0G2JWK6	Amer2	APC membrane recruitment protein 2	tr|A0A0G2JWK6|A0A0G2JWK6_RAT	tr|A0A0G2JWK6|A0A0G2JWK6_RAT	tr|A0A0G2JWK6|A0A0G2JWK6_RAT APC membrane recruitment protein 2 OS=Rattus norvegicus OX=10116 GN=Amer2 PE=1 SV=1	1	4	4	4	9.6	53.714	509	0	32.302	44686000	4	14.7122582971106	14.5877189261586	14.7052003780631	14.3323862671816	14.1491119907069	14.5264992391366	0.0958666679850874	0.160492639880004	0.301839597672335	-0.104494975050739	-0.096790779516697	-0.147948077668421	0.302477579257761	0.00178612691988416	0.0396672672259499	FALSE
