Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep31	Razor + unique peptides Prep31	Unique peptides Prep31	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep31	Reporter intensity corrected 2 Prep31	Reporter intensity corrected 3 Prep31	Reporter intensity corrected 4 Prep31	Reporter intensity corrected 5 Prep31	Reporter intensity corrected 6 Prep31	Reporter intensity 1 Prep31	Reporter intensity 2 Prep31	Reporter intensity 3 Prep31	Reporter intensity 4 Prep31	Reporter intensity 5 Prep31	Reporter intensity 6 Prep31	Reporter intensity count 1 Prep31	Reporter intensity count 2 Prep31	Reporter intensity count 3 Prep31	Reporter intensity count 4 Prep31	Reporter intensity count 5 Prep31	Reporter intensity count 6 Prep31	Sequence coverage Prep31 [%]	Intensity	Intensity Prep31	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
tr|A0A0G2K2R0|A0A0G2K2R0_RAT;tr|D3ZU85|D3ZU85_RAT	tr|A0A0G2K2R0|A0A0G2K2R0_RAT;tr|D3ZU85|D3ZU85_RAT	1;1	1;1	1;1	tr|A0A0G2K2R0|A0A0G2K2R0_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=1 SV=1;tr|D3ZU85|D3ZU85_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=1 SV=3	2	1	1	1	1	1	1	2	2	2	86.399	783	783;794	11											1		0	2.4248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2537200	2537200	1				2734	26070	True	27273	38808	52991	52991		
tr|D4A5P3|D4A5P3_RAT;tr|A0A0G2K2T2|A0A0G2K2T2_RAT	tr|D4A5P3|D4A5P3_RAT;tr|A0A0G2K2T2|A0A0G2K2T2_RAT	2;2	2;2	2;2	tr|D4A5P3|D4A5P3_RAT Mitoguardin 1 OS=Rattus norvegicus OX=10116 GN=Miga1 PE=4 SV=1;tr|A0A0G2K2T2|A0A0G2K2T2_RAT Mitoguardin 1 OS=Rattus norvegicus OX=10116 GN=Miga1 PE=4 SV=1	2	2	2	2	2	2	2	6	6	6	59.812	536	536;600	5.67		1	1									1	0	121.62	5038.3	4425.7	3710	5468.6	4885.5	3550.9	4609.5	4189.2	3898	5411.2	5040.7	3437	3	3	3	3	3	3	5038.3	4425.7	3710	5468.6	4885.5	3550.9	4609.5	4189.2	3898	5411.2	5040.7	3437	3	3	3	3	3	3	6	54328000	54328000	3				2735	30972;33350	True;True	32433;34920	46038;49774;49775	62703;67865;67866	62703;67866		
tr|A0A0G2K2V2|A0A0G2K2V2_RAT;tr|G3V9N8|G3V9N8_RAT;sp|P52303|AP1B1_RAT	tr|A0A0G2K2V2|A0A0G2K2V2_RAT;tr|G3V9N8|G3V9N8_RAT;sp|P52303|AP1B1_RAT	31;31;30	16;16;15	16;16;15	tr|A0A0G2K2V2|A0A0G2K2V2_RAT AP complex subunit beta OS=Rattus norvegicus OX=10116 GN=Ap1b1 PE=1 SV=1;tr|G3V9N8|G3V9N8_RAT AP complex subunit beta OS=Rattus norvegicus OX=10116 GN=Ap1b1 PE=1 SV=3;sp|P52303|AP1B1_RAT AP-1 complex subunit beta-1 OS=Rattus no	3	31	16	16	31	16	16	38	23	23	103.82	942	942;949;949	5.07	4	2	4	5	2	3	2		5	2			0	323.31	183040	185620	172840	206990	195240	135150	167480	175780	179030	206720	200690	131060	30	30	30	30	30	30	183040	185620	172840	206990	195240	135150	167480	175780	179030	206720	200690	131060	30	30	30	30	30	30	38	1168000000	1168000000	45				2736	243;1857;2140;3592;3596;3669;4181;5766;8093;14645;15566;16147;16148;16298;16404;16775;17438;19176;19346;19994;20348;21618;21962;21963;23658;24519;26563;29394;30129;33116;33117	False;True;True;False;True;False;True;False;False;True;False;True;True;False;True;False;True;True;False;False;False;False;True;True;True;True;True;True;False;False;False	241;1911;2219;3711;3715;3790;4324;5984;8409;15250;16208;16803;16804;16958;17066;17447;18148;19947;20122;20795;20796;21195;21196;22664;23029;23030;24785;25668;27794;30765;31548;34678;34679	338;339;2816;2817;3274;5317;5321;5552;6309;8883;12236;22052;23511;24290;24291;24292;24293;24294;24295;24296;24297;24298;24299;24485;24617;25111;26087;26088;28490;28746;28747;29700;29701;30242;30243;30244;30245;30246;30247;30248;32449;33026;33027;33028;35449;36685;39490;39491;39492;43660;44848;49332;49333	444;445;446;3846;3847;4486;4487;7142;7149;7493;7494;8497;8498;12249;16682;30244;30245;32300;32301;33313;33314;33315;33316;33317;33318;33319;33320;33321;33322;33323;33324;33325;33326;33327;33328;33329;33575;33750;34370;34371;35697;35698;35699;35700;38918;39254;39255;39256;39257;40554;40555;41287;41288;41289;41290;41291;41292;41293;41294;44393;44394;44395;44396;45365;45366;45367;48639;48640;50291;53851;53852;53853;53854;53855;53856;59467;61073;61074;67269;67270;67271;67272;67273	446;3846;4486;7142;7149;7493;8498;12249;16682;30245;32300;33314;33329;33575;33750;34370;35700;38918;39254;40555;41292;44394;45365;45367;48639;50291;53856;59467;61073;67271;67273	749;750	74;802
tr|A0A0G2K2V3|A0A0G2K2V3_RAT;tr|D3ZU27|D3ZU27_RAT	tr|A0A0G2K2V3|A0A0G2K2V3_RAT;tr|D3ZU27|D3ZU27_RAT	6;5	6;5	6;5	tr|A0A0G2K2V3|A0A0G2K2V3_RAT Ubiquitin-specific peptidase 31 OS=Rattus norvegicus OX=10116 GN=Usp31 PE=3 SV=1;tr|D3ZU27|D3ZU27_RAT Ubiquitin specific protease 31 (Predicted) OS=Rattus norvegicus OX=10116 GN=Usp31 PE=3 SV=1	2	6	6	6	6	6	6	6.9	6.9	6.9	133.52	1214	1214;1089	6.14		3			1					1	2		0	19.076	8650.1	8698.2	8046.5	10788	8540.3	8696.5	7914.9	8236.7	8359.6	10694	8956.2	8325.9	4	4	4	4	4	4	8650.1	8698.2	8046.5	10788	8540.3	8696.5	7914.9	8236.7	8359.6	10694	8956.2	8325.9	4	4	4	4	4	4	6.9	43964000	43964000	9				2737	8546;10409;11139;14566;19474;21858	True;True;True;True;True;True	8873;10810;11580;15167;20255;22912	12830;15689;16861;21936;28927;32864;32865	17488;21479;23134;23135;30057;30058;39497;45139;45140	17488;21479;23134;30057;39497;45139		
tr|A0A0G2K2V5|A0A0G2K2V5_RAT	tr|A0A0G2K2V5|A0A0G2K2V5_RAT	12	12	4	tr|A0A0G2K2V5|A0A0G2K2V5_RAT Exocyst complex component 1 OS=Rattus norvegicus OX=10116 GN=Exoc1 PE=1 SV=1	1	12	12	4	12	12	4	19.7	19.7	6.1	81.995	721	721	5.07		3	4	1		1	3				2		0	85.263	82535	84713	78621	93914	86078	62968	75522	80211	81447	93757	88720	60933	11	11	11	11	11	11	82535	84713	78621	93914	86078	62968	75522	80211	81447	93757	88720	60933	11	11	11	11	11	11	19.7	278190000	278190000	15				2738	1834;5427;6555;6998;12195;15593;18500;18705;19481;19513;19613;26953	True;True;True;True;True;True;True;True;True;True;True;True	1887;5626;6800;7256;12682;16236;19244;19463;20262;20296;20400;28198	2784;8383;10036;10644;18362;18363;23560;27603;27876;27877;28935;28983;29132;40001	3801;11604;11605;13795;14588;25103;25104;32371;37757;38115;38116;39506;39564;39764;54496	3801;11605;13795;14588;25104;32371;37757;38115;39506;39564;39764;54496		
tr|Q6AXQ3|Q6AXQ3_RAT;tr|A0A0G2K2V7|A0A0G2K2V7_RAT	tr|Q6AXQ3|Q6AXQ3_RAT;tr|A0A0G2K2V7|A0A0G2K2V7_RAT	6;6	2;2	0;0	tr|Q6AXQ3|Q6AXQ3_RAT Tyrosine-protein kinase OS=Rattus norvegicus OX=10116 GN=Yes1 PE=1 SV=1;tr|A0A0G2K2V7|A0A0G2K2V7_RAT Tyrosine-protein kinase OS=Rattus norvegicus OX=10116 GN=Yes1 PE=1 SV=1	2	6	2	0	6	2	0	15.3	7.4	0	54.269	489	489;526	5				1		1							0	12.348	2870	2646.4	2217.7	3318.2	3307.7	1694.1	2625.8	2493.2	2330.4	3287.5	3370.1	1665.9	3	2	3	3	3	3	2870	2646.4	2217.7	3318.2	3307.7	1694.1	2625.8	2493.2	2330.4	3287.5	3370.1	1665.9	3	2	3	3	3	3	15.3	8866200	8866200	3				2739	9782;11437;15824;18913;25016;32367	False;False;False;True;True;False	10153;11892;16473;19673;26178;33886	14732;17279;23861;28141;37361;48172	20173;23673;23674;32760;38459;38460;51135;65696	20173;23673;32760;38459;51135;65696		
tr|F1LT71|F1LT71_RAT;tr|A0A0G2K2Z0|A0A0G2K2Z0_RAT	tr|F1LT71|F1LT71_RAT;tr|A0A0G2K2Z0|A0A0G2K2Z0_RAT	3;3	3;3	3;3	tr|F1LT71|F1LT71_RAT EMAP-like 4 OS=Rattus norvegicus OX=10116 GN=Eml4 PE=1 SV=2;tr|A0A0G2K2Z0|A0A0G2K2Z0_RAT EMAP-like 4 OS=Rattus norvegicus OX=10116 GN=Eml4 PE=1 SV=1	2	3	3	3	3	3	3	4.9	4.9	4.9	95.203	854	854;914	7				1		1					1		0	3.8822	9744	10068	9302.9	9989.3	8089.7	7865.6	8916.1	9531.7	9620.4	10004	8460	7540.2	1	1	1	1	1	1	9744	10068	9302.9	9989.3	8089.7	7865.6	8916.1	9531.7	9620.4	10004	8460	7540.2	1	1	1	1	1	1	4.9	44900000	44900000	3				2740	13985;15449;20206	True;True;True	14547;16086;21024	21022;23340;29994	28788;32052;40952	28788;32052;40952		
tr|A0A0G2K2Z2|A0A0G2K2Z2_RAT;tr|A0A0G2K5K7|A0A0G2K5K7_RAT	tr|A0A0G2K2Z2|A0A0G2K2Z2_RAT;tr|A0A0G2K5K7|A0A0G2K5K7_RAT	1;1	1;1	1;1	tr|A0A0G2K2Z2|A0A0G2K2Z2_RAT Inositol polyphosphate-5-phosphatase K OS=Rattus norvegicus OX=10116 GN=Inpp5k PE=1 SV=1;tr|A0A0G2K5K7|A0A0G2K5K7_RAT Inositol polyphosphate-5-phosphatase K OS=Rattus norvegicus OX=10116 GN=Inpp5k PE=1 SV=1	2	1	1	1	1	1	1	2.6	2.6	2.6	45.472	388	388;451	1	1												0	2.8287	7513	7226.5	7063.6	9874.1	7579.6	5792.8	6874.2	6850.8	7315.8	9768.4	7892	5596.6	1	1	1	1	1	1	7513	7226.5	7063.6	9874.1	7579.6	5792.8	6874.2	6850.8	7315.8	9768.4	7892	5596.6	1	1	1	1	1	1	2.6	22388000	22388000	1				2741	12932	True	13457	19461	26649	26649		
tr|F1LVM4|F1LVM4_RAT;tr|A0A0G2K302|A0A0G2K302_RAT	tr|F1LVM4|F1LVM4_RAT;tr|A0A0G2K302|A0A0G2K302_RAT	3;3	3;3	3;3	tr|F1LVM4|F1LVM4_RAT AP complex subunit sigma OS=Rattus norvegicus OX=10116 GN=Ap3s2 PE=1 SV=2;tr|A0A0G2K302|A0A0G2K302_RAT AP complex subunit sigma OS=Rattus norvegicus OX=10116 GN=Ap3s2 PE=1 SV=1	2	3	3	3	3	3	3	17.1	17.1	17.1	19.187	170	170;179	5				1	3	1							0	8.6428	29624	29780	29502	33454	29204	26651	27106	28229	30380	33452	30362	25596	3	3	3	3	3	3	29624	29780	29502	33454	29204	26651	27106	28229	30380	33452	30362	25596	3	3	3	3	3	3	17.1	156110000	156110000	5				2742	7723;21617;25069	True;True;True	8019;22663;26231	11674;32447;32448;37433;37434	15928;44391;44392;51224;51225	15928;44391;51225		
tr|D3ZET9|D3ZET9_RAT;tr|A0A0G2K315|A0A0G2K315_RAT	tr|D3ZET9|D3ZET9_RAT;tr|A0A0G2K315|A0A0G2K315_RAT	7;7	7;7	7;7	tr|D3ZET9|D3ZET9_RAT Centrosomal protein of 170 kDa-like OS=Rattus norvegicus OX=10116 GN=LOC100909664 PE=1 SV=2;tr|A0A0G2K315|A0A0G2K315_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 GN=Cep170 PE=1 SV=1	2	7	7	7	7	7	7	7	7	7	125.75	1139	1139;1139	7.57	2					1				1	1	2	0	13.193	15166	14023	16918	17521	15616	10530	13876	13334	17163	17604	16084	10222	3	2	3	3	3	3	15166	14023	16918	17521	15616	10530	13876	13334	17163	17604	16084	10222	3	2	3	3	3	3	7	86283000	86283000	8				2743	666;5166;12068;19924;21148;22268;30209	True;True;True;True;True;True;True	678;5356;12547;20725;22176;23347;31632	1002;8012;18186;29613;31742;33413;44952	1357;11124;24873;24874;40441;43442;45885;61200	1357;11124;24873;40441;43442;45885;61200		
tr|A0A0G2K329|A0A0G2K329_RAT;tr|A0A0G2JW27|A0A0G2JW27_RAT;tr|A0A0G2K4Z2|A0A0G2K4Z2_RAT;tr|A0A1W2Q6L6|A0A1W2Q6L6_RAT	tr|A0A0G2K329|A0A0G2K329_RAT;tr|A0A0G2JW27|A0A0G2JW27_RAT;tr|A0A0G2K4Z2|A0A0G2K4Z2_RAT	22;21;21;1	1;0;0;0	1;0;0;0	tr|A0A0G2K329|A0A0G2K329_RAT Neuronal cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Nrcam PE=1 SV=1;tr|A0A0G2JW27|A0A0G2JW27_RAT Neuronal cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Nrcam PE=1 SV=1;tr|A0A0G2K4Z2|A0A0G2K4Z2_RAT Neurona	4	22	1	1	22	1	1	23.8	1.6	1.6	130.9	1183	1183;1195;1214;127	10										1			0	11.406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8	9406900	9406900	1				2744	7472;7483;9285;9595;9596;9974;10120;10393;12084;12806;14840;17203;21147;21350;21816;27232;27240;28116;31079;31862;32811;32917	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False	7765;7776;9634;9958;9959;10352;10505;10791;12564;13326;15453;17903;22175;22387;22869;28494;28502;29418;32546;33363;34352;34468	11331;11344;13851;14386;14387;14388;15025;15219;15666;18211;18212;19244;22375;25780;31740;31741;32060;32738;40406;40414;41733;46199;47413;48858;48859;49022	15495;15496;15513;18853;19621;19622;19623;20566;20820;21446;24907;24908;24909;26318;30721;35303;43439;43440;43441;43853;44759;55038;55046;56825;56826;56827;62940;64601;66628;66629;66630;66846	15496;15513;18853;19621;19622;20566;20820;21446;24908;26318;30721;35303;43440;43853;44759;55038;55046;56825;62940;64601;66629;66846		
tr|A0A0G2K336|A0A0G2K336_RAT	tr|A0A0G2K336|A0A0G2K336_RAT	3	3	1	tr|A0A0G2K336|A0A0G2K336_RAT Aquaporin-4 OS=Rattus norvegicus OX=10116 GN=Aqp4 PE=1 SV=1	1	3	3	1	3	3	1	7.5	7.5	2.7	39.947	374	374	9.2					1					3	1		0	14.191	27858	28668	26653	33602	26164	24101	25491	27144	27638	33388	27370	23141	4	4	4	4	4	4	27858	28668	26653	33602	26164	24101	25491	27144	27638	33388	27370	23141	4	4	4	4	4	4	7.5	434670000	434670000	6				2745	6266;7554;11525	True;True;True	6500;7847;11984;11985	9585;11426;17399;17400;17401	13160;15606;15607;23819;23820;23821	13160;15607;23820	582	319
tr|A0A0G2K350|A0A0G2K350_RAT;tr|D4A0E2|D4A0E2_RAT	tr|A0A0G2K350|A0A0G2K350_RAT;tr|D4A0E2|D4A0E2_RAT	16;11	16;11	16;11	tr|A0A0G2K350|A0A0G2K350_RAT NSF attachment protein gamma OS=Rattus norvegicus OX=10116 GN=Napg PE=1 SV=1;tr|D4A0E2|D4A0E2_RAT NSF attachment protein gamma OS=Rattus norvegicus OX=10116 GN=Napg PE=1 SV=1	2	16	16	16	16	16	16	52.9	52.9	52.9	34.659	312	312;230	6.48	1	2	4	1	3		2	1	2	5	1	1	0	150.19	190920	199590	183100	224000	206520	147040	174700	188920	189930	223410	212650	142430	19	20	20	20	20	19	190920	199590	183100	224000	206520	147040	174700	188920	189930	223410	212650	142430	19	20	20	20	20	19	52.9	3497400000	3497400000	28				2746	1665;2610;3186;3304;5803;8291;14435;17580;17870;18836;21291;22896;23902;28203;32259;33092	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1711;2698;3294;3415;6021;8612;15028;18292;18596;19594;22327;24000;25035;29516;33774;34647;34648	2545;3894;4754;4927;8947;8948;8949;8950;12488;21741;21742;26324;26751;26752;28039;28040;31990;34494;35835;41902;48025;49293;49294	3463;5294;6424;6651;12328;12329;12330;12331;12332;12333;12334;17012;29791;29792;36049;36640;36641;38331;38332;43773;47469;49171;49172;57092;65503;67216;67217;67218	3463;5294;6424;6651;12332;17012;29792;36049;36640;38332;43773;47469;49172;57092;65503;67217	1397	262
tr|A0A0G2K395|A0A0G2K395_RAT;tr|F1LUD9|F1LUD9_RAT	tr|A0A0G2K395|A0A0G2K395_RAT;tr|F1LUD9|F1LUD9_RAT	1;1	1;1	1;1	tr|A0A0G2K395|A0A0G2K395_RAT Leucine-rich repeat-containing 20 OS=Rattus norvegicus OX=10116 GN=Lrrc20 PE=1 SV=1;tr|F1LUD9|F1LUD9_RAT Leucine-rich repeat-containing 20 OS=Rattus norvegicus OX=10116 GN=Lrrc20 PE=1 SV=2	2	1	1	1	1	1	1	4.9	4.9	4.9	18.612	164	164;184	10										1			1	-2	6167.7	7453.9	5030.8	6479.2	7158	5770.1	5644.6	7022.6	5371	6468.5	7338.4	5564.2	1	1	1	1	1	1	6167.7	7453.9	5030.8	6479.2	7158	5770.1	5644.6	7022.6	5371	6468.5	7338.4	5564.2	1	1	1	1	1	1	4.9	637040000	637040000	1	+			2747	16552	True	17215	24804	33991	33991	1398	143
tr|A0A0G2K3C7|A0A0G2K3C7_RAT;tr|D4AE31|D4AE31_RAT	tr|A0A0G2K3C7|A0A0G2K3C7_RAT;tr|D4AE31|D4AE31_RAT	2;2	1;1	1;1	tr|A0A0G2K3C7|A0A0G2K3C7_RAT Family with sequence similarity 126, member A OS=Rattus norvegicus OX=10116 GN=Fam126a PE=4 SV=1;tr|D4AE31|D4AE31_RAT Family with sequence similarity 126, member A OS=Rattus norvegicus OX=10116 GN=Fam126a PE=1 SV=1	2	2	1	1	2	1	1	5.7	2.7	2.7	41.502	370	370;521	7							1						0.0051246	1.6634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	0	0	1				2748	31003;32019	False;True	32465;33526	46079;47648	62754;64939	62754;64939		
tr|A0A0G2K3D9|A0A0G2K3D9_RAT;tr|M0R9H6|M0R9H6_RAT	tr|A0A0G2K3D9|A0A0G2K3D9_RAT	5;2	5;2	2;2	tr|A0A0G2K3D9|A0A0G2K3D9_RAT Transmembrane protein 132B (Fragment) OS=Rattus norvegicus OX=10116 GN=Tmem132b PE=4 SV=1	2	5	5	2	5	5	2	9	9	3.5	72.504	658	658;459	9.8								1	2		1	1	0	9.2043	18009	20622	16820	22452	20824	15398	16480	19478	17649	22314	21458	14895	2	2	2	2	2	2	18009	20622	16820	22452	20824	15398	16480	19478	17649	22314	21458	14895	2	2	2	2	2	2	9	100140000	100140000	6				2749	14571;18891;24649;24828;32359	True;True;True;True;True	15173;19650;25800;25985;33878	21944;28109;36868;37108;48163	30066;38416;38417;50519;50818;65685	30066;38417;50519;50818;65685		
tr|F1LRS2|F1LRS2_RAT;tr|A0A0G2K3H2|A0A0G2K3H2_RAT	tr|F1LRS2|F1LRS2_RAT;tr|A0A0G2K3H2|A0A0G2K3H2_RAT	7;7	7;7	7;7	tr|F1LRS2|F1LRS2_RAT Dedicator of cytokinesis 7 OS=Rattus norvegicus OX=10116 GN=Dock7 PE=1 SV=2;tr|A0A0G2K3H2|A0A0G2K3H2_RAT Dedicator of cytokinesis 7 OS=Rattus norvegicus OX=10116 GN=Dock7 PE=1 SV=1	2	7	7	7	7	7	7	3.8	3.8	3.8	240.06	2118	2118;2129	3.62	4	1				1	1			1			0	14.046	44695	41987	38074	43384	37596	35129	40894	39767	39497	43367	39131	33715	2	2	2	2	2	2	44695	41987	38074	43384	37596	35129	40894	39767	39497	43367	39131	33715	2	2	2	2	2	2	3.8	181220000	181220000	8				2750	7553;8948;19237;21728;26310;28852;30889	True;True;True;True;True;True;True	7846;9286;20010;22776;27532;30201;32346	11425;13389;28571;32595;32596;39143;42822;45927	15605;18237;39021;44578;44579;53412;58328;62552	15605;18237;39021;44579;53412;58328;62552		
tr|A0A0G2K3I6|A0A0G2K3I6_RAT	tr|A0A0G2K3I6|A0A0G2K3I6_RAT	1	1	1	tr|A0A0G2K3I6|A0A0G2K3I6_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=3 SV=1	1	1	1	1	1	1	1	4.2	4.2	4.2	36.511	335	335	7.67							4		2				0	38.562	90291	87823	71733	84172	85646	75180	82614	83040	75114	84245	88321	72293	3	3	3	3	3	3	90291	87823	71733	84172	85646	75180	82614	83040	75114	84245	88321	72293	3	3	3	3	3	3	4.2	2222600000	2222600000	6				2751	17998	True	18730	26942;26943;26944;26945;26946;26947	36894;36895;36896;36897;36898;36899	36896		
tr|G3V9L3|G3V9L3_RAT;tr|A0A0G2K3I9|A0A0G2K3I9_RAT	tr|G3V9L3|G3V9L3_RAT;tr|A0A0G2K3I9|A0A0G2K3I9_RAT	6;6	6;6	6;6	tr|G3V9L3|G3V9L3_RAT Dual-specificity phosphatase 3 OS=Rattus norvegicus OX=10116 GN=Dusp3 PE=1 SV=2;tr|A0A0G2K3I9|A0A0G2K3I9_RAT Dual-specificity phosphatase 3 OS=Rattus norvegicus OX=10116 GN=Dusp3 PE=1 SV=1	2	6	6	6	6	6	6	34.9	34.9	34.9	21.095	192	192;211	6.5	1	1					3	1		2			0	31.835	30383	30784	28363	32176	30611	26143	27801	29147	29371	32217	31632	25161	6	6	6	6	6	6	30383	30784	28363	32176	30611	26143	27801	29147	29371	32217	31632	25161	6	6	6	6	6	6	34.9	653930000	653930000	10				2752	80;5181;17548;24752;25258;26451	True;True;True;True;True;True	73;5371;18260;25908;26425;27678;27679	100;8036;26270;37007;37008;37681;39327;39328	128;129;11153;35969;50692;50693;51534;53630;53631;53632	128;11153;35969;50692;51534;53631	1399	147
tr|A0A0G2K3L8|A0A0G2K3L8_RAT;tr|Q5U2Y7|Q5U2Y7_RAT	tr|A0A0G2K3L8|A0A0G2K3L8_RAT	7;1	7;1	7;1	tr|A0A0G2K3L8|A0A0G2K3L8_RAT WD repeat and FYVE domain-containing 1 OS=Rattus norvegicus OX=10116 GN=Wdfy1 PE=1 SV=1	2	7	7	7	7	7	7	20.2	20.2	20.2	46.175	410	410;193	4.4	1	5	1				1				1	1	0	48.562	41444	44515	40127	48162	39775	35135	37924	42119	41663	47996	41425	33778	10	10	10	10	10	10	41444	44515	40127	48162	39775	35135	37924	42119	41663	47996	41425	33778	10	10	10	10	10	10	20.2	598030000	598030000	12				2753	106;5869;12707;13521;18277;29103;29620	True;True;True;True;True;True;True	99;6088;13223;14070;19013;30462;31008	141;9058;19118;19119;20314;20315;27315;43210;44024;44025	181;12477;12478;26155;26156;26157;27789;27790;37375;58868;59960;59961	181;12478;26157;27789;37375;58868;59960		
tr|D3ZZ81|D3ZZ81_RAT;tr|A0A0G2K3L9|A0A0G2K3L9_RAT;tr|A0A1B0GWM2|A0A1B0GWM2_RAT;tr|A0A1B0GWS0|A0A1B0GWS0_RAT;tr|A0A1B0GWW5|A0A1B0GWW5_RAT;tr|D3ZRB1|D3ZRB1_RAT	tr|D3ZZ81|D3ZZ81_RAT;tr|A0A0G2K3L9|A0A0G2K3L9_RAT;tr|A0A1B0GWM2|A0A1B0GWM2_RAT;tr|A0A1B0GWS0|A0A1B0GWS0_RAT	11;11;11;11;5;2	1;1;1;1;0;0	1;1;1;1;0;0	tr|D3ZZ81|D3ZZ81_RAT PTPRF-interacting protein alpha 1 OS=Rattus norvegicus OX=10116 GN=Ppfia1 PE=1 SV=1;tr|A0A0G2K3L9|A0A0G2K3L9_RAT PTPRF-interacting protein alpha 1 OS=Rattus norvegicus OX=10116 GN=Ppfia1 PE=1 SV=1;tr|A0A1B0GWM2|A0A1B0GWM2_RAT PTPRF-int	6	11	1	1	11	1	1	8.8	1.1	1.1	134.63	1190	1190;1226;1241;1266;736;246	2		1											0	6.2102	6905.7	6486.4	6285.7	7054.6	4763.9	5747.5	6318.3	6149.4	6484.2	7033.7	5074.2	5479	1	1	1	1	1	1	6905.7	6486.4	6285.7	7054.6	4763.9	5747.5	6318.3	6149.4	6484.2	7033.7	5074.2	5479	1	1	1	1	1	1	8.8	14028000	14028000	1				2754	6528;7383;12308;15665;18501;20596;20749;20996;25309;25890;26683	False;False;False;False;False;False;False;False;False;False;True	6773;7670;12800;16310;19245;21501;21682;21991;21992;26479;27084;27915	9999;10000;11208;18527;23661;27604;30710;30946;31398;31399;31400;31401;31402;37756;38554;39649	13741;13742;15335;25331;32489;37758;41953;42259;42858;42859;42860;42861;42862;51651;52669;54054	13741;15335;25331;32489;37758;41953;42259;42861;51651;52669;54054	1210	1007
tr|A0A0G2K3N1|A0A0G2K3N1_RAT;tr|F1M8X9|F1M8X9_RAT	tr|A0A0G2K3N1|A0A0G2K3N1_RAT;tr|F1M8X9|F1M8X9_RAT	3;3	3;3	3;3	tr|A0A0G2K3N1|A0A0G2K3N1_RAT Golgi brefeldin A-resistant guanine nucleotide exchange factor 1 OS=Rattus norvegicus OX=10116 GN=Gbf1 PE=1 SV=1;tr|F1M8X9|F1M8X9_RAT Golgi brefeldin A-resistant guanine nucleotide exchange factor 1 OS=Rattus norvegicus OX=1011	2	3	3	3	3	3	3	1.9	1.9	1.9	205.33	1850	1850;1861	6.33					1	1		1					0	5.5082	4591	4583.7	4423.4	5939.8	4554.3	4137.4	4200.8	4343.5	4580.7	5885.4	4766.2	3974.2	2	2	2	2	2	2	4591	4583.7	4423.4	5939.8	4554.3	4137.4	4200.8	4343.5	4580.7	5885.4	4766.2	3974.2	2	2	2	2	2	2	1.9	17490000	17490000	3				2755	1788;18256;24679	True;True;True	1838;18992;25831	2708;27288;36911	3683;37336;50573	3683;37336;50573		
